R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
11,豚骨ラーメン,,18,,1,6,1,0,,,6,5,3,5,6,,,
12,豚骨ラーメン（大盛）,,2,,2,1,6,9,,,3,1,4,3,5,,,
13,チャーシュー醤油,,14,,1,3,0,1,,,1,0,2,1,1,,,
14,チャーシュー豚骨,,16,,1,0,0,1,,,1,0,3,1,1,,,
15,ラーメンセットミニ炒飯醤油,,0,,0,0,0,8,,,0,0,0,0,0,,,
16,ラーメンセットミニ炒飯豚骨,,0,,0,0,0,7,,,0,0,0,0,0,,,
17,かけうどん,,6,,3,2,6,5,,,8,2,8,6,7,,,
18,天ぷらうどん,,13,,2,1,2,1,,,3,2,3,2,0,,,
19,カレーうどん,,8,,0,2,0,0,,,2,1,3,0,1,,,
20,肉うどん,,32,,5,10,7,5,,,10,8,4,16,8,,,
21,うどんセット,,0,,1,3,1,4,,,3,2,1,5,4,,,
23,ラーメンセットミニカレー醤油,,0,,3,5,9,0,,,2,5,11,9,1,,,
24,ラーメンセットミニカレー豚骨,,1,,5,6,5,1,,,1,6,7,3,1,,,
25,かけそば,,3,,1,1,1,1,,,0,1,0,0,0,,,
26,天ぷらそば,,14,,0,0,0,1,,,1,0,0,0,2,,,
27,カレーそば,,0,,0,0,0,0,,,0,0,0,0,0,,,
28,肉そば,,7,,0,0,1,2,,,3,2,2,0,0,,,
29,そばセット,,0,,2,1,0,0,,,1,0,0,0,2,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,,206,,74,86,83,93,0,,81,86,92,88,80,0,0,
,,,,,,,,,,,,,,,,,,
R7,6月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,
1,日替定食,,✕,✕,25,25,30,,,0,25,32,30,33,,,✕,
2,日替丼,,✕,✕,✕,✕,✕,,,27,✕,✕,✕,✕,,,24,
4,カレー,,4,1,8,5,1,,,1,0,5,7,3,,,2,
5,カツカレー,,✕,10,✕,✕,0,,,0,8,✕,0,0,,,✕,
6,ハヤシライス,,✕,0,✕,✕,0,,,0,✕,✕,0,0,,,✕,
8,やきめし,,✕,0,✕,✕,7,,,0,✕,✕,0,5,,,✕,
9,醤油ラーメン,,6,6,6,1,3,,,4,7,4,5,9,,,4,
10,醤油ラーメン（大盛）,,2,2,5,1,6,,,0,3,3,3,5,,,2,
11,豚骨ラーメン,,4,3,3,1,1,,,4,3,0,1,6,,,2,
12,豚骨ラーメン（大盛）,,4,1,3,4,4,,,2,1,4,4,3,,,0,
13,チャーシュー醤油,,0,0,0,0,3,,,0,1,2,2,1,,,1,
14,チャーシュー豚骨,,0,0,0,1,0,,,0,1,0,0,2,,,0,
15,ラーメンセットミニ炒飯醤油,,0,0,0,0,3,,,0,0,0,0,8,,,0,
16,ラーメンセットミニ炒飯豚骨,,0,0,0,0,2,,,0,0,0,0,5,,,0,
17,かけうどん,,3,2,8,8,6,,,2,7,3,3,3,,,7,
18,天ぷらうどん,,✕,1,3,1,3,,,3,1,2,0,1,,,0,
19,カレーうどん,,2,0,0,1,2,,,1,0,0,1,6,,,0,
20,肉うどん,,13,6,11,8,7,,,6,5,6,5,11,,,9,
21,うどんセット,,5,2,1,3,3,,,2,2,2,3,5,,,2,
23,ラーメンセットミニカレー醤油,,4,10,4,5,1,,,2,7,3,5,0,,,2,
24,ラーメンセットミニカレー豚骨,,1,4,3,3,3,,,4,3,4,5,0,,,2,
25,かけそば,,0,1,0,0,0,,,1,0,1,0,0,,,1,
26,天ぷらそば,,0,1,0,0,1,,,0,0,0,0,1,,,0,
27,カレーそば,,0,0,0,0,0,,,0,0,0,0,0,,,0,
28,肉そば,,0,0,2,1,0,,,2,0,1,1,1,,,1,
29,そばセット,,0,0,1,0,1,,,1,2,0,0,2,,,0,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,48,50,83,68,87,,0,62,76,72,75,110,0,0,59,
,,,,,,,,,,,,,,,,,,
R7,6月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,
,,火,水,木,金,土,日,月,火,水,木,金,土,日,月,,,
1,日替定食,32,31,34,28,,,✕,32,34,30,28,,,✕,,,
2,日替丼,✕,✕,✕,✕,,,24,✕,✕,0,✕,,,25,,,
4,カレー,1,7,3,6,,,5,1,2,4,0,,,5,,,
5,カツカレー,10,0,✕,✕,,,0,7,0,0,0,,,0,,,
6,ハヤシライス,0,0,✕,✕,,,0,✕,0,0,9,,,0,,,
8,やきめし,0,0,✕,3,,,0,✕,0,0,7,,,0,,,
9,醤油ラーメン,5,3,3,5,,,7,3,4,3,1,,,4,,,
10,醤油ラーメン（大盛）,2,4,3,4,,,2,2,1,3,3,,,3,,,
11,豚骨ラーメン,2,0,1,1,,,0,3,2,1,4,,,0,,,
12,豚骨ラーメン（大盛）,3,4,3,3,,,2,3,5,4,5,,,3,,,
13,チャーシュー醤油,0,0,1,3,,,2,0,0,0,1,,,1,,,
14,チャーシュー豚骨,1,0,0,1,,,0,1,0,0,0,,,0,,,
15,ラーメンセットミニ炒飯醤油,0,0,0,6,,,0,0,0,0,6,,,0,,,
16,ラーメンセットミニ炒飯豚骨,0,0,0,4,,,0,0,0,0,2,,,0,,,
17,かけうどん,5,6,4,4,,,5,5,5,5,4,,,2,,,
18,天ぷらうどん,0,2,0,2,,,0,1,2,0,1,,,0,,,
19,カレーうどん,1,2,0,0,,,1,1,0,1,0,,,0,,,
20,肉うどん,4,4,7,7,,,6,4,0,7,9,,,5,,,
21,うどんセット,5,0,3,4,,,0,5,4,6,2,,,5,,,
23,ラーメンセットミニカレー醤油,4,4,4,2,,,2,4,2,4,0,,,2,,,
24,ラーメンセットミニカレー豚骨,2,4,0,3,,,3,8,2,5,0,,,4,,,
25,かけそば,0,0,0,1,,,1,2,1,0,0,,,0,,,
26,天ぷらそば,0,0,0,2,,,0,0,0,0,0,,,0,,,
27,カレーそば,0,0,0,0,,,0,0,0,0,0,,,0,,,
28,肉そば,0,1,0,0,,,0,1,1,1,1,,,2,,,
29,そばセット,0,0,2,3,,,1,0,1,1,1,,,1,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,77,72,68,92,0,0,61,83,66,75,84,0,0,62,0,0,
R7,7月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,
1,日替定食,✕,✕,✕,✕,,,✕,31,34,32,36,,,✕,31,32,
2,日替丼,✕,✕,✕,✕,,,29,✕,✕,✕,✕,,,23,✕,✕,
4,カレー,0,3,4,3,,,2,3,3,6,3,,,4,0,2,
5,カツカレー,11,0,0,0,,,✕,7,✕,0,✕,,,0,8,✕,
6,ハヤシライス,✕,0,0,0,,,✕,0,✕,0,✕,,,0,✕,✕,
8,やきめし,✕,0,0,0,,,✕,0,✕,0,✕,,,0,✕,✕,
9,醤油ラーメン,0,7,10,5,,,4,1,6,7,4,,,4,5,2,
10,醤油ラーメン（大盛）,9,2,6,5,,,1,6,4,6,3,,,2,1,5,
11,豚骨ラーメン,5,1,4,8,,,3,2,2,0,4,,,7,1,0,
12,豚骨ラーメン（大盛）,7,3,3,9,,,4,1,2,1,1,,,2,1,5,
13,チャーシュー醤油,0,2,4,5,,,0,0,1,1,4,,,0,2,2,
14,チャーシュー豚骨,0,1,2,0,,,2,1,1,0,2,,,0,0,0,
